access to classified information	– գաղտնի տեղեկություններ ստանալու իրավունք եւ հնարավորություն:
subversion	– քայքայիչ գործունեություն - գործողություններ, որոնց նպատակն է թուլացնել վարչակազմի ռազմական, տնտեսական, հոգեբանական կամ քաղաքական հզորությունը եւ բարոյական վիճակը:
supporting artillery	– աջակցող հրետանի - հրետանի, որը հրետակոծում է որոշակի զորամիավորման` սովորաբար հետեւակին աջակցելու նպատակով, սակայն մնում է իր վերադաս հրետանային ստորաբաժանման հրամանատարության ներքո:
sweep	– մաքրում՝ տեխնիկական միջոցների կիրառում - քողարկված լսող սարքեր եւ գաղտնի հսկողություն իրականացնելու նպատակով տեղադրված այլ հարմարանքներ հայտնաբերելու համար:
system	– համակարգ - գործառույթներով, ֆիզիկապես կամ իրենց դրսեւորումներով կապակցված եւ պարբերաբար փոխազդող տարրերի խումբ, որն իր ողջ համակցությամբ կազմում է միասնական ամբողջականություն:
tactical map	– մարտավարական քարտեզ - մեծ մասշտաբի քարտեզ, որն օգտագործվում է մարտավարական նպատակներով:
tactical obstacles	– մարտավարական խոչընդոտներ - խոչընդոտներ, որոնք կիրառվում են հակառակորդի զորամիավորումների առաջխաղացումը խանգարելու, նրանց դեպի մարտավարական առումով ցանկալի տարածք ուղղորդելու, հակառակորդին գնդակոծման գոտում գամելու կամ ճեղքումը խափանելու համար:
tactical reserve	– մարտավարական ռեզերվ - զորամիավորման մի մասը, որը մնում է հրամանատարի տրամադրության տակ, որպես զորաշարժի պատրաստ ստորաբաժանում՝ հետագայում գործողության մեջ դրվելու նպատակով:
target	– թիրախ -  1. որպես մարտի կամ այլ գործողության հնարավոր նպատակակետ դիտվող կազմավորում կամ օբյեկտ: 2. Երկիր, տարածք, ռազմաբազա, հաստատություն կամ անձ, որի դեմ իրականացվում են հետախուզական գործողություններ: 3. Տարածք, որը պլանավորվում է գնդակոծել: 
target date	– սահմանված ժամկետ - գործողությունը սկսելու կամ ավարտելու համար պլանավորված ժամանակը:
technical assistance	– տեխնիկական աջակցություն - սարքավորումների տեղակայման, շահագործման եւ սպասարկման համար անհրաժեշտ խորհրդատվության, օժանդակության տրամադրում եւ ուսուցման իրականացում:
teleconference	– հեռուստախորհրդակցություն - միմյանցից հեռու գտնվող անձանց միջեւ հեռուստահաղորդակցության համակարգի միջոցով իրականացվող խորհրդակցություն:
theater	– թատերաբեմ - աշխարհագրական տարածք, որի համար պատասխանատու է տվյալ զորամիավորման հրամանատարը:
threat and vulnerability assessment	– սպառնալիքի եւ խոցելիության գնահատում - կառույցի դեմ սպառնալիքների վերլուծության եւ նրա խոցելիության վերլուծության զուգակցում:
time fuze	– ժամանակային քուղ - պայթաքուղ, որի վրա կան ժամանակային աստիճանավորված նշագծեր, հաշվարկելու համար այն ժամանակահատվածը, որից հետո քուղը կգործի եւ կառաջանա պայթյուն:
tolerance dose	– թույլատրելի դոզա - ճառագայթման այն չափաբաժինը, որը կարող է ստանալ անձը որոշակի ժամանակահատվածում՝ կրելով աննշան բացասական հետեւանքներ:
toxin	– թույն - թունավոր նյութեր, որոնք կարող են գոյանալ բնական եղանակով (մանրեների, բույսերի, սնկերի, օձերի, միջատների եւ այլ կենդանի օրգանիզմների կողմից) եւ արհեստական միջոցներով:
traffic flow	– փոխադրամիջոցների հոսք - որոշակի ժամանակահատվածում տվյալ կետով անցնող փոխադրամիջոցների ընդհանուր քանակը: Փոխադրամիջոցների հոսքն արտահայտվում է մեկ ժամում անցնող փոխադրամիջոցների քանակությամբ:
train headway	– գնացքների առաջխաղացում -  զորամիավորման կողմից տվյալ վայրում երկու հաջորդական գնացքների վրա բեռնավորվելու միջեւ ընկած ժամանակային ինտերվալը:
true altitude	– իրական բարձրություն - օդանավի բարձրությունը` հաշվված ծովի միջին մակարդակից:
two-person rule	— երկու անձի կանոն - համակարգ, որն արգելում է մեկ անհատի կողմից միջուկային զենքի կիրառման հնարավորությունը: Այդ կանոնի համաձայն միջուկային զենքի կիրառման համար անհրաժեշտ է առնվազն երկու իրավասու անձանց միաժամանակյա ներկայությունը: Առաջադրանքը կատարելու ընթացքում վերջիններս պարտավոր են վերահսկել մեկը մյուսի ոչ ճիշտ կամ առաջադրանքի իրականացման գործընթացին չհամապատասխանող գործողությունները: 
unanticipated target	– չնախատեսված թիրախ - նախօրոք չպլանավորված, գործողությունների թատերաբեմում ի հայտ եկած անսպասելի թիրախ:
underwater demolition	– ստորջրյա ոչնչացում - ստորջրյա խոչընդոտների վերացում կամ չեզոքացում, ինչը սովորաբար իրականացվում է հատուկ պատրաստվածություն ունեցող ջոկատների միջոցով:
unified action	– միասնական գործունեություն -  ջանքերի համատեղման նպատակով  պետական եւ ոչ պետական հաստատությունների գործողությունների ժամանակային համաձայնեցումը ռազմական գործողությունների հետ եւ նրանց միասնական համակարգումը:  
unit loading	– տեսակարար բեռնվածություն - զորամիավորումների եւ նրանց սարքավորումների ու պաշարների բեռնումը միեւնույն նավի, օդանավի կամ ցամաքային փոխադրամիջոցի վրա, ինչը ցույց է տալիս մակերեսի միավորի վրա առաջացող բեռնվածությունը:
unity of effort	– ջանքերի միասնություն - ընդհանուր խնդիրների լուծման նպատակով իրականացվող համակարգում եւ համագործակցություն, անգամ երբ մասնակիցները չեն պատկանում միեւնույն հրամանատարությանը կամ կազմակերպությանը:
unmanned aircraft	– անօդաչու թռչող սարք - օդանավ կամ օդապարիկ, որը չունի օդաչու եւ գործում է հեռակառավարման միջոցով կամ ավտոմատ ծրագրավորմամբ:
unwanted cargo	– անցանկալի բեռ - բեռ, որը փոխադրամիջոցի վրա բարձվել է խաղաղության ժամանակ եւ որի կարիքը ստացող երկիրը պատերազմի ժամանակ չունի: 
valuable cargo	– արժեքավոր բեռ - բեռ, որը կարող է արժեք ներկայացնել պատերազմի հետագա փուլում:
vehicle distance	– փոխադրամիջոցների դիստանցիա - շարասյունով ընթացող փոխադրամիջոցների միջեւ եղած տարածությունը, որը հաշվվում է մի փոխադրամիջոցի ետնամասից մինչեւ հաջորդ փոխադրամիջոցի ճակատամասը:
verify	– ճշգրտում - հավաստում, որ հաղորդագրության իմաստը եւ ձեւակերպումները ճշգրտորեն համապատասխանում են հեղինակի մտադրությանը:
very seriously ill or injured	– շատ ծանր հիվանդ կամ վիրավոր - անձի այնպիսի վիճակը, երբ բժիշկները նրա կյանքը գնահատում են անմիջականորեն վտանգված:
visibility range	– տեսանելիության սահմանը - հորիզոնական այն հեռավորությունը (կիլոմետրերով կամ մղոններով արտահայտված), որի սահմաններում, ցերեկվա լույսի պայմաններում, հնարավոր է տեսնել մեծ մուգ առարկան հորիզոնից վեր տարածվող երկնքի ֆոնի վրա: 
vital ground	– կենսական նշանակություն ունեցող տեղանք - տարածք, որի պահպանումը կամ որի վերահսկումը կարեւոր նշանակություն ունի մարտական առաջադրանքը հաջողությամբ իրականացնելու համար:
vulnerability	– խոցելիություն - պետության կամ զինված ուժերի անբավարար պաշտպանվածությունը այնպիսի գործողություններից, որոնք կարող են նվազեցնել նրանց պատերազմական կարողությունները, մարտական արդյունավետությունը կամ բացասաբար անդրադառնալ նրանց մարտնչելու կամքի վրա:
walking patient	– քայլող հիվանդ - հիվանդ, որի վնասվածքները կամ հիվանդությունը հարաբերականորեն թեթեւ են, նրան թույլ են տալիս քայլել եւ  անհրաժեշտություն չկա պատգարակի կիրառման:
wanted cargo	– ցանկալի բեռ - նավին բարձված բեռ, որը ստացող երկրին անհապաղ կերպով պետք չէ, բայց որի կարիքը զգացվելու է հետագայում: 
warhead	– մարտագլխիկ - հրթիռի, ռեակտիվ արկի, տորպեդի կամ այլ զինատեսակի այն մասը, որը պարունակում է միջուկային կամ ջերմամիջուկային համակարգ, ուժգին պայթուցիկ համակարգ, քիմիական կամ կենսաբանական նյութեր կամ վնաս պատճառելու նպատակով տեղադրված այլ նյութեր:
wartime load	– պատերազմական ժամանակի բեռնվածություն - բոլոր տեսակի բեռների այն առավելագույն քանակությունը, որը նավը կարող է փոխադրել:
wave	– ալիք - զորամիավորումների, նրանց ափ հանող նավերի, ջրի վրայով ընթացող այլ փոխադրամիջոցների կամ օդանավերի կազմավորում, որը միաժամանակ ընթացող եւ համակարգված գործողություն է իրականացնում տվյալ ափի կամ ցամաքի վրա: Կարող են լինել հետեւյալ կարգի ալիքներ. (ա) գրոհային ալիք, (բ) նավակների ալիք, (գ) ուղղաթիռների ալիք, (դ) հերթական ալիք,(ե) ըստ պահանջի ալիք, (զ) պլանավորված ալիք եւ այլն:
weaponeering	– զինահաշվարկ - տվյալ թիրախին որոշակի աստիճանի վնաս պատճառելու համար անհրաժեշտ զինատեսակների քանակի հաշվարկ, որի ժամանակ նկատի են առնվում թիրախի խոցելիությունը, զենքերի առանձնահատկությունները, նրանց կիրառման արդյունքները եւ փոխադրմանը ներկայացվող պահանջները:
wind shear	— քամու տեղաշարժ - քամու ուղղության եւ ուժգնության փոփոխություն:
working group	– աշխատանքային խումբ - միացյալ ուժերի հրամանատարության ներքո գործող երկարաժամկետ կամ որոշակի խնդրի շուրջ ստեղծված կազմակերպություն, որի նպատակն է հանձնարարված գործառույթի շրջանակներում վերլուծություններ տրամադրել դրանք օգտագործող ծառայություններին:
xenophobia	– օտարատյացություն:
yaw	– շեղում - օդանավի, նավի կամ հրթիռի պտույտը իր ուղղահայաց առանցքի նկատմամբ, այն հաշվարկով, որ հորիզոնական հարթության վրա առաջացնի այդ օդանավի, նավի կամ հրթիռի երկայնական առանցքի թեքում իր երթուղուց:
yield (nuclear)	– արդյունք (միջուկային) - միջուկային զենքի պայթյունից արձակվող էներգիան: Այն գնահատվում է էներգիայի նույն քանակի արտանետման համար անհրաժեշտ տրինիտրոտոլուոլ (տրոտիլ) պայթուցիկի կիլոտոննաների կամ մեգատոննաների չափերով: Ընդունված է հետեւյալ դասակարգումը. (ա) շատ թույլ՝ մեկ կիլոտոննայից քիչ, (բ) թույլ՝ 1-ից 10 կիլոտոննա, (գ) միջին՝ 10-ից 50 կիլոտոննա, (դ) ուժգին՝ 50-ից 500 կիլոտոննա եւ (ե) խիստ ուժգին՝ 500 կիլոտոննայից ավել:
zone of action	– գործողության գոտի - ավելի մեծ տարածքի մարտավարական ենթատարածք, որի համար պատասխանատվությունը դրված է մարտավարական ստորաբաժանման վրա: Սովորաբար կիրառվում է հարձակողական գործողությունների ժամանակ:
zone of fire	– կրակի գոտի - տարածք, որի դեմ ցամաքային զորամիավորումը կամ աջակցող ռազմանավը իրականացնում է գնդակոծում կամ պատրաստվում է դա անել: 
